
Training Data Shape: torch.Size([100, 1]), torch.Size([100, 1])

--- TEST NAME: sine_parameter_scaling 	 Single Kernel 	 Hidden Sizes: (16, 16) ---

Iteration 66: New best loss = 0.128801167011261
Iteration 67: New best loss = 0.12768372893333435
Iteration 68: New best loss = 0.1270504593849182
Iteration 69: New best loss = 0.12681175768375397
Iteration 70: New best loss = 0.12636369466781616
Iteration 71: New best loss = 0.12602797150611877
Iteration 72: New best loss = 0.1256982982158661
Iteration 73: New best loss = 0.1255260407924652
Iteration 74: New best loss = 0.12526749074459076
Iteration 75: New best loss = 0.12489639222621918
Iteration 76: New best loss = 0.1240227222442627
Iteration 77: New best loss = 0.12344247102737427
Iteration 78: New best loss = 0.12314952909946442
Iteration 79: New best loss = 0.12290321290493011
Iteration 80: New best loss = 0.12283426523208618
Iteration 81: New best loss = 0.12251052260398865
Iteration 82: New best loss = 0.12225589156150818
Iteration 83: New best loss = 0.12221808731555939
Iteration 84: New best loss = 0.12215682864189148
Iteration 85: New best loss = 0.12173360586166382
Iteration 86: New best loss = 0.12150753289461136
Iteration 87: New best loss = 0.12132992595434189
Iteration 88: New best loss = 0.12112083286046982
Iteration 89: New best loss = 0.1204025074839592
Iteration 90: New best loss = 0.11997092515230179
Iteration 91: New best loss = 0.11972805112600327
Iteration 92: New best loss = 0.11917230486869812
